 table_name |  column_name   |          data_type          
------------+----------------+-----------------------------
 category   | category_id    | integer
 category   | name           | character varying
 customer   | customer_id    | integer
 customer   | first_name     | character varying
 customer   | last_name      | character varying
 customer   | email          | character varying
 customer   | created_at     | timestamp without time zone
 order_item | order_item_id  | integer
 order_item | order_id       | integer
 order_item | product_id     | integer
 order_item | quantity       | integer
 order_item | price          | numeric
 orders     | order_id       | integer
 orders     | customer_id    | integer
 orders     | order_date     | timestamp without time zone
 orders     | total_amount   | numeric
 payment    | payment_id     | integer
 payment    | order_id       | integer
 payment    | payment_date   | timestamp without time zone
 payment    | amount         | numeric
 payment    | payment_method | character varying
 product    | product_id     | integer
 product    | price          | numeric
 product    | stock_quantity | integer
 product    | category_id    | integer
 product    | created_at     | timestamp without time zone
(26 rows)

